x (Parameter) -> outputs: [<Shape: [1,3,640,640]>]
__module.model.7.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.7.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,576,1,1]>]
__module.model.7.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.7.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [576,384,3,3]>]
Constant_450776 (Constant) -> outputs: [<Shape: [576,1,1,1]>]
Convert_450775 (Convert) -> outputs: [<Shape: [576,384,3,3]>]
Constant_450774 (Constant) -> outputs: [<Shape: [576,384,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_29/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_29/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_29/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_29/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_29/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_29 (Swish) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.6.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.6.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,384,1,1]>]
__module.model.6.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.6.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [384,1152,1,1]>]
Constant_450772 (Constant) -> outputs: [<Shape: [384,1,1,1]>]
Convert_450771 (Convert) -> outputs: [<Shape: [384,1152,1,1]>]
Constant_450770 (Constant) -> outputs: [<Shape: [384,1152,1,1]>]
__module.model.6/aten::cat/Concat (Concat) -> outputs: [<Shape: [1,1152,40,40]>]
__module.model.6.m.3/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.3/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.3/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.3/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.3/aten::add/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_28/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_28/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_28/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_28/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_28/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_28 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.3.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450768 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450767 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450766 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_27/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_27/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_27/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_27/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_27/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_27 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.3.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.3.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450764 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450763 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450762 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.6.m.2/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.2/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.2/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.2/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.2/aten::add/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_26/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_26/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_26/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_26/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_26/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_26 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.2.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450760 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450759 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450758 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_25/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_25/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_25/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_25/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_25/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_25 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.2.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.2.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450756 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450755 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450754 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.6.m.1/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.1/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.1/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.1/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.1/aten::add/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_24/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_24/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_24/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_24/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_24/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_24 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.1.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450752 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450751 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450750 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_23/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_23/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_23/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_23/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_23/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_23 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.1.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.1.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450748 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450747 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450746 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.6.m.0/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.0/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.0/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.0/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.6.m.0/aten::add/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_22/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_22/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_22/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_22/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_22/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_22 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.0.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450744 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450743 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450742 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_21/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_21/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_21/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_21/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_21/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_21 (Swish) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.6.m.0.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,40,40]>]
__module.model.6.m.0.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450740 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450739 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450738 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.6/aten::split_with_sizes/VariadicSplit (VariadicSplit) -> outputs: [<Shape: [1,192,40,40]>, <Shape: [1,192,40,40]>]
Constant_1135 (Constant) -> outputs: [<Shape: [2]>]
337 (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_20/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_20/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_20/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_20/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_20/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_20 (Swish) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.6.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.6.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,384,1,1]>]
__module.model.6.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.6.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [384,384,1,1]>]
Constant_450736 (Constant) -> outputs: [<Shape: [384,1,1,1]>]
Convert_450735 (Convert) -> outputs: [<Shape: [384,384,1,1]>]
Constant_450734 (Constant) -> outputs: [<Shape: [384,384,1,1]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_19/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_19/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_19/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_19/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_19/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_19 (Swish) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.5.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.5.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,384,1,1]>]
__module.model.5.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,384,40,40]>]
__module.model.5.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [384,192,3,3]>]
Constant_450732 (Constant) -> outputs: [<Shape: [384,1,1,1]>]
Convert_450731 (Convert) -> outputs: [<Shape: [384,192,3,3]>]
Constant_450730 (Constant) -> outputs: [<Shape: [384,192,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_18/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_18/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_18/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_18/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_18/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_18 (Swish) -> outputs: [<Shape: [1,192,80,80]>]
__module.model.4.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,80,80]>]
__module.model.4.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.4.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,80,80]>]
__module.model.4.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,576,1,1]>]
Constant_450728 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450727 (Convert) -> outputs: [<Shape: [192,576,1,1]>]
Constant_450726 (Constant) -> outputs: [<Shape: [192,576,1,1]>]
__module.model.4/aten::cat/Concat (Concat) -> outputs: [<Shape: [1,576,80,80]>]
__module.model.4.m.3/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.3/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.3/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.3/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.3/aten::add/Add (Add) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_17/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_17/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_17/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_17/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_17/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_17 (Swish) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,96,1,1]>]
__module.model.4.m.3.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450724 (Constant) -> outputs: [<Shape: [96,1,1,1]>]
Convert_450723 (Convert) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450722 (Constant) -> outputs: [<Shape: [96,96,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_16/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_16/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_16/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_16/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_16/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_16 (Swish) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,96,1,1]>]
__module.model.4.m.3.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.3.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450720 (Constant) -> outputs: [<Shape: [96,1,1,1]>]
Convert_450719 (Convert) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450718 (Constant) -> outputs: [<Shape: [96,96,3,3]>]
__module.model.4.m.2/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.2/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.2/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.2/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.4.m.2/aten::add/Add (Add) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_15/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_15/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_15/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_15/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_15/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_15 (Swish) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,96,1,1]>]
__module.model.4.m.2.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450716 (Constant) -> outputs: [<Shape: [96,1,1,1]>]
Convert_450715 (Convert) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450714 (Constant) -> outputs: [<Shape: [96,96,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_14/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_14/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_14/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_14/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_14/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_14 (Swish) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,96,1,1]>]
__module.model.4.m.2.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,96,80,80]>]
__module.model.4.m.2.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450712 (Constant) -> outputs: [<Shape: [96,1,1,1]>]
Convert_450711 (Convert) -> outputs: [<Shape: [96,96,3,3]>]
Constant_450710 (Constant) -> outputs: [<Shape: [96,96,3,3]>]
__module.model.4.m.1/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,96,80,80]>]
